,id,town,state,total_trips,total_auto,total_nm,total_truck,total_transit
0,4398,MIDDLEBOROUGH,MA,12242.345,10571.244,244.54236,1413.1342,13.424819
1,2571,BRIDGEWATER,MA,4867.7544,4333.445,141.8642,379.92868,12.516448
2,2669,HALIFAX,MA,4431.8164,3818.0654,61.266808,535.5409,16.943243
3,4392,MIDDLEBOROUGH,MA,2678.4536,2368.805,17.111002,286.4079,6.129582
4,2641,MARSHFIELD,MA,7415.845,5810.641,631.8381,869.17017,104.19565
5,2643,MARSHFIELD,MA,4167.678,3577.471,213.15494,331.22977,45.822067
6,2666,DUXBURY,MA,5661.2227,4776.274,199.83205,648.06647,37.0505
7,2665,DUXBURY,MA,5351.4233,4463.216,340.58807,505.4343,42.18556
8,2675,KINGSTON,MA,6571.2993,5011.7803,849.6689,631.7567,78.0933
9,1961,NEWBURY,MA,2950.2644,2624.468,55.39878,266.07614,4.32145
10,2569,BRIDGEWATER,MA,5401.46,4761.863,118.636,505.38605,15.57481
11,2670,HALIFAX,MA,2761.1685,2402.207,96.992744,252.57794,9.390859
12,2674,PLYMPTON,MA,6334.528,5390.696,134.59549,790.53,18.706432
13,2542,EAST BRIDGEWATER,MA,7151.4927,6280.43,171.5946,673.23694,26.230715
14,1807,BRAINTREE,MA,7983.5806,6519.9272,488.21637,637.6083,337.82883
15,2672,HALIFAX,MA,7369.6587,6532.6636,198.81229,575.98926,62.19356
16,2673,PLYMPTON,MA,2156.0464,1849.2908,51.953026,247.20045,7.601965
17,2684,KINGSTON,MA,12099.922,10038.252,308.35687,1742.0244,11.289339
18,4406,CARVER,MA,4351.723,3775.7769,74.41201,493.75635,7.777985
19,4313,NEW BEDFORD,MA,2094.7925,1279.548,477.0137,245.24767,92.983086
20,4407,CARVER,MA,4547.5664,3833.3442,223.43314,481.9709,8.818525
21,1829,WEYMOUTH,MA,4182.1836,3297.2136,315.5106,460.5656,108.89381
22,4314,NEW BEDFORD,MA,2387.1216,1499.7711,536.1203,252.0588,99.1713
23,4408,CARVER,MA,4191.0093,3581.945,165.10065,436.14325,7.8203983
24,2668,HALIFAX,MA,3152.7954,2756.2605,37.10708,341.9814,17.446348
25,1900,HANOVER,MA,5150.168,4117.2886,194.95897,837.90063,0.019348592
26,2654,PEMBROKE,MA,8437.516,7455.093,268.08966,673.0066,41.325996
27,2655,PEMBROKE,MA,8240.53,7287.6304,258.14163,660.56415,34.193935
28,1794,BRAINTREE,MA,16526.602,12430.791,1189.5131,2617.785,288.51196
29,4324,NEW BEDFORD,MA,2156.6423,1329.6617,520.1017,216.16052,90.71842
30,2682,KINGSTON,MA,6677.8657,5635.086,217.66672,807.92865,17.184765
31,2683,KINGSTON,MA,6444.182,5432.698,164.6895,826.26215,20.532192
32,2680,KINGSTON,MA,3520.05,2823.7046,203.08727,473.98434,19.274015
33,2677,KINGSTON,MA,4675.1626,3772.1646,375.79498,467.4375,59.765545
34,1833,WEYMOUTH,MA,8219.54,6098.7217,484.8128,1468.5468,167.45886
35,2707,PLYMOUTH,MA,8459.153,6774.7983,407.08646,1268.6428,8.625976
36,2649,HANSON,MA,5068.938,4413.037,155.53342,479.6771,20.69041
37,1830,WEYMOUTH,MA,4175.111,2867.0325,274.40652,935.9907,97.6812
38,4295,NEW BEDFORD,MA,2196.992,1396.8286,525.6435,167.37491,107.144844
39,2671,HALIFAX,MA,2625.668,2323.9492,69.31146,218.64096,13.766275
40,2653,PEMBROKE,MA,8584.767,7433.0376,238.27406,878.4534,35.001667
41,2656,PEMBROKE,MA,7184.0674,6348.3555,117.98775,689.06104,28.663034
42,2660,DUXBURY,MA,3265.0432,2947.0322,34.175694,257.55576,26.279552
43,4158,FALL RIVER,MA,2384.6147,1524.129,481.827,304.83817,73.82062
44,207942,TIVERTON,RI,9952.348,8268.213,505.5787,1178.5552,0.0
45,4248,WESTPORT,MA,2736.0256,2373.561,33.50854,328.95605,0.0
46,2661,DUXBURY,MA,6635.6284,5631.4033,294.03488,670.24744,39.943
47,2681,KINGSTON,MA,4590.7485,3696.9617,111.90616,769.6888,12.192111
48,2679,KINGSTON,MA,4133.3345,3305.7632,199.72922,597.9009,29.940687
49,4145,FALL RIVER,MA,2531.8962,1657.9475,579.28094,216.60518,78.06256
50,2678,KINGSTON,MA,2767.1392,2135.3655,228.34406,385.91467,17.515205
51,1083,QUINCY,MA,15807.422,9903.312,872.85297,3823.8892,1207.3689
52,1735,BROCKTON,MA,4659.257,3721.2236,350.74805,439.409,147.87587
53,2705,PLYMOUTH,MA,5778.9883,4189.3115,143.37935,1381.6709,64.62644
54,2650,HANSON,MA,2040.9253,1757.2338,107.74552,170.014,5.9320536
55,2652,PEMBROKE,MA,2463.6577,2198.738,22.234062,230.10748,12.578066
56,2657,PEMBROKE,MA,4568.8193,3747.0503,145.25378,667.9757,8.53941
57,2658,PEMBROKE,MA,5267.696,4432.242,136.79034,680.1947,18.468447
58,268,BOSTON,MA,17140.629,5999.413,5918.735,1878.2119,3344.2693
59,2638,MARSHFIELD,MA,13846.816,10893.8545,699.86096,2110.1494,142.95145
60,4149,FALL RIVER,MA,4298.8374,2679.1382,1167.9458,328.99606,122.757195
61,2642,MARSHFIELD,MA,8056.912,5952.8574,556.79395,1424.1604,123.10073
62,2663,DUXBURY,MA,6375.087,5480.6787,190.5158,663.4245,40.4684
63,208396,PROVIDENCE,RI,2132.525,1567.9241,415.09045,144.95096,4.559225
64,2662,DUXBURY,MA,4833.5024,4293.3774,140.09256,366.43192,33.600136
65,2664,DUXBURY,MA,4883.76,3973.4006,316.3475,557.1122,36.899597
66,208398,PROVIDENCE,RI,4056.7688,2734.7332,772.36005,545.67535,4.000293
67,2676,KINGSTON,MA,739.1067,541.7942,20.722572,166.47946,10.110446
68,1822,WEYMOUTH,MA,6235.689,4911.005,541.5452,564.6222,218.51674
69,2651,HANSON,MA,7475.8877,6683.593,173.69016,586.45135,32.15389
70,1897,HANOVER,MA,6035.637,5233.81,109.1635,647.4309,45.232708
71,1898,HANOVER,MA,7634.585,6185.0234,153.84558,1273.1545,22.561457
72,1909,NORWELL,MA,4073.008,3732.7346,51.940296,266.76584,21.567297
73,1127,QUINCY,MA,12486.537,8575.918,2073.5122,999.666,837.4417
74,2659,PEMBROKE,MA,5931.8423,4654.038,187.32166,1085.2347,5.2475758
75,2636,MARSHFIELD,MA,7715.147,6924.4043,139.0813,629.58264,22.079304
76,2639,MARSHFIELD,MA,8292.213,7169.743,375.55652,716.2545,30.657997
77,1896,HANOVER,MA,5114.023,4252.5845,71.73088,757.0954,32.612495
78,1895,HANOVER,MA,5767.0137,4990.4575,207.77612,525.8255,42.95446
79,1899,HANOVER,MA,4572.1606,3529.0884,119.975296,918.13464,4.9623294
80,1872,COHASSET,MA,7156.6655,5975.24,161.17996,993.4115,26.833588
81,1911,SCITUATE,MA,6277.492,5290.0527,271.43073,669.5537,46.455215
82,1914,SCITUATE,MA,10855.539,9310.764,643.502,847.3281,53.944992
83,1907,NORWELL,MA,6974.571,6272.07,124.97824,548.84985,28.673166
84,1915,SCITUATE,MA,6080.652,5008.366,276.72125,766.1226,29.44175
85,2637,MARSHFIELD,MA,7853.8726,6967.2197,264.65225,596.2901,25.710632
86,2644,MARSHFIELD,MA,7019.3906,5554.807,756.1171,602.8282,105.638306
87,2645,MARSHFIELD,MA,6252.2197,5110.6216,472.75684,578.05493,90.786354
88,2667,DUXBURY,MA,4709.666,3926.724,172.70761,582.22205,28.012089
89,1893,HANOVER,MA,6791.9033,5990.702,217.58662,526.0027,57.61242
90,1894,HANOVER,MA,7566.026,6492.995,379.9159,641.8922,51.22279
91,1908,NORWELL,MA,4329.309,3791.4565,90.18733,437.72467,9.940199
92,1912,SCITUATE,MA,4370.029,3963.792,71.02075,315.52063,19.695238
93,1916,SCITUATE,MA,13158.077,10659.064,862.8865,1591.1963,44.930073
94,2640,MARSHFIELD,MA,5302.995,4398.031,456.04514,383.6604,65.25895
95,1883,ROCKLAND,MA,5575.094,4762.661,290.57712,479.33832,42.517708
96,1866,HINGHAM,MA,5268.0317,3532.599,97.49625,1636.3158,1.6205161
97,1890,ROCKLAND,MA,2626.4978,2310.5981,82.984406,214.03674,18.878632
98,1892,ROCKLAND,MA,4299.328,3559.2078,123.72586,602.2765,14.118117
99,1901,HANOVER,MA,3134.9995,2441.0635,87.677284,606.2397,0.019118838
100,1906,NORWELL,MA,4229.5674,3750.0852,44.474823,405.99918,29.008385
101,1125,QUINCY,MA,7429.9097,5173.023,1051.0897,708.3919,497.40472
102,4109,ATTLEBORO,MA,10023.277,6646.2773,1695.7224,1307.4233,373.854
103,1889,ROCKLAND,MA,6613.793,5339.3657,352.44342,886.1471,35.836975
104,1891,ROCKLAND,MA,8181.054,5929.09,193.36388,2045.3035,13.297566
105,1806,BRAINTREE,MA,8265.969,6550.7754,536.59467,953.0267,225.57191
106,1864,HINGHAM,MA,12475.865,9888.926,540.0729,1978.2589,68.60745
107,1905,NORWELL,MA,7660.374,6308.6562,231.39853,1079.207,41.112514
108,1868,HINGHAM,MA,4955.326,4381.349,145.232,396.40973,32.335365
109,208347,PAWTUCKET,RI,1626.0946,1249.9954,258.08624,104.579155,13.433959
110,1860,HINGHAM,MA,3895.4434,3227.1855,234.0866,358.0024,76.16875
111,1859,HINGHAM,MA,3959.2292,3271.7397,223.09235,368.0318,96.36551
112,1869,COHASSET,MA,6220.701,5395.8857,219.25673,558.93463,46.62392
113,1870,COHASSET,MA,6364.576,5039.9727,463.1813,834.41284,27.009777
114,1910,SCITUATE,MA,3568.4993,3110.5427,126.36477,315.86713,15.724623
115,1834,WEYMOUTH,MA,9350.459,6410.591,328.90082,2469.3562,141.61153
116,1832,WEYMOUTH,MA,8090.4634,6731.289,495.0768,712.3605,151.73734
117,1862,HINGHAM,MA,6720.401,5780.2275,301.15204,567.0867,71.93486
118,1902,NORWELL,MA,4887.61,3540.589,139.27925,1204.5234,3.2182045
119,1090,QUINCY,MA,6114.1357,4085.1792,956.0813,472.15308,600.7217
120,94,BOSTON,MA,5767.947,1011.3385,2782.585,627.7224,1346.3011
121,1904,NORWELL,MA,7290.062,5681.474,281.40338,1311.095,16.089533
122,1863,HINGHAM,MA,4879.8896,4348.518,139.85861,351.4284,40.085117
123,1847,WEYMOUTH,MA,11449.481,8631.545,638.69556,1963.1797,216.06163
124,1702,RANDOLPH,MA,6183.511,4863.748,532.31854,583.09875,204.34604
125,1861,HINGHAM,MA,7706.221,6017.008,508.27405,1000.1023,180.83727
126,1112,QUINCY,MA,3011.8098,1968.9513,487.05945,271.26593,284.53317
127,3030,NORTHBRIDGE,MA,1124.6195,965.2857,36.059666,112.86604,10.408086
128,1858,HINGHAM,MA,6030.0938,4445.5117,423.16946,978.15344,183.25905
129,1088,QUINCY,MA,13267.302,9401.222,1938.2119,941.4132,986.45544
130,1844,WEYMOUTH,MA,7228.895,6029.6113,370.78055,749.37506,79.12813
131,1838,WEYMOUTH,MA,3969.3953,3486.2754,169.63258,272.99377,40.493515
132,1837,WEYMOUTH,MA,8495.994,6968.5103,706.022,673.42175,148.03958
133,1831,WEYMOUTH,MA,6768.9517,5163.7817,551.85065,870.0745,183.24481
134,1118,QUINCY,MA,11451.272,6767.329,1630.5927,2054.5884,998.7623
135,1828,WEYMOUTH,MA,4448.1216,3536.6584,293.81476,482.11353,135.53485
136,1823,WEYMOUTH,MA,8590.015,6562.897,834.9808,895.0286,297.1081
137,1856,HINGHAM,MA,6906.609,5461.8047,390.11218,902.089,152.60315
138,1853,HINGHAM,MA,7169.074,5722.8877,556.1174,694.60596,195.46346
139,1846,WEYMOUTH,MA,5055.152,4292.946,179.87402,516.17725,66.15462
140,1840,WEYMOUTH,MA,2677.0286,1928.4817,181.28018,520.6633,46.60323
141,208324,PAWTUCKET,RI,2971.8855,2301.4675,460.0193,202.80496,7.593736
142,1845,WEYMOUTH,MA,5137.7812,4176.4175,296.813,579.5542,84.99678
143,1843,WEYMOUTH,MA,6226.484,4924.067,638.38965,548.5695,115.45802
144,208423,EAST PROVIDENCE,RI,3262.4539,2365.8213,260.35297,633.5662,2.7133348
145,1836,WEYMOUTH,MA,5040.843,4003.9321,379.8455,571.6492,85.41584
146,1835,WEYMOUTH,MA,11023.808,8572.81,707.7693,1559.3358,183.89262
147,1120,QUINCY,MA,7121.963,4761.4688,1025.7272,739.6768,595.0903
148,1116,QUINCY,MA,11116.467,6440.705,1531.6501,2192.0312,952.08014
149,1826,WEYMOUTH,MA,6282.981,4977.0415,573.89594,552.1902,179.85301
150,1827,WEYMOUTH,MA,5200.753,4073.6438,449.75406,490.79218,186.56284
151,1819,WEYMOUTH,MA,3469.8892,2843.1304,263.0083,247.94446,115.806076
152,1688,CANTON,MA,7060.742,5788.7925,142.12657,1058.8241,70.999146
153,1820,WEYMOUTH,MA,2976.8162,2459.6492,197.24037,216.936,102.99048
154,1854,HINGHAM,MA,5358.332,3856.9126,335.3367,988.9486,177.13385
155,1091,QUINCY,MA,8146.978,5367.0796,856.9996,1411.2437,511.65533
156,1873,ABINGTON,MA,8357.829,7068.788,349.2459,890.60803,49.186836
157,1731,HOLBROOK,MA,6006.1333,5201.6265,211.96509,488.6666,103.87505
158,1805,BRAINTREE,MA,5674.6055,4900.2134,215.74072,462.91528,95.73624
159,1839,WEYMOUTH,MA,5123.063,4009.6753,280.21527,778.612,54.56071
160,1842,WEYMOUTH,MA,2886.6948,2083.6848,192.70619,575.44006,34.863834
161,1115,QUINCY,MA,466.59085,243.07167,35.108616,145.7314,42.67916
162,4262,NEW BEDFORD,MA,3254.6582,2129.1636,579.7914,378.8062,166.89699
163,1809,BRAINTREE,MA,6585.0312,4855.7666,477.94684,959.90356,291.41418
164,1804,BRAINTREE,MA,8934.91,7132.5967,421.01495,1004.7452,376.55292
165,2089,LOWELL,MA,6126.2603,4691.2085,829.89105,468.2554,136.90524
166,1818,WEYMOUTH,MA,6618.632,5113.593,565.54395,643.1217,296.3735
167,1798,BRAINTREE,MA,2727.565,1938.371,119.2673,515.73364,154.19312
168,4270,NEW BEDFORD,MA,2871.933,1867.1832,615.563,235.36919,153.81787
169,1729,HOLBROOK,MA,12114.299,9467.838,818.11127,1419.5826,408.76627
170,1730,HOLBROOK,MA,7322.116,5481.86,521.8663,1047.2902,271.09985
171,266,BOSTON,MA,8615.683,3135.7346,3695.7117,590.34924,1193.8868
172,1810,BRAINTREE,MA,4987.1675,4010.6516,321.11465,393.90485,261.4964
173,1821,WEYMOUTH,MA,4241.2886,3225.0342,351.55066,472.67017,192.0335
174,1121,QUINCY,MA,10104.3125,6611.9814,1656.9681,1052.1635,783.2003
175,541,MALDEN,MA,8275.623,4767.8223,1408.0161,1122.8558,976.9285
176,1813,BRAINTREE,MA,11134.286,8490.041,968.2617,1105.7617,570.2215
177,1114,QUINCY,MA,8390.737,5147.7285,1142.7299,1264.1755,836.10376
178,267,BOSTON,MA,6114.4355,2247.5288,2324.5735,636.7284,905.60474
